start,end,caption
0.0,340.76800000000003,a blurry image of a sunset on a beach
340.76800000000003,681.5360000000001,an aerial view of a desert with a sky background
681.5360000000001,1022.304,an aerial view of a desert with a sky background
1022.304,1363.072,a blurry image of a sunset with a sky background
1363.072,1703.84,a blurry image of a blurry night sky
1703.84,2044.608,a blurry picture of a person standing in the dark
2044.608,2385.376,a blurry image of a blurry image of a blurry image of a blurry image
2385.376,2726.144,a woman is posing for a picture in a black and white photo
2726.144,3066.912,a woman is holding a pair of scissors
3066.912,3407.68,a woman holding a remote in her hand
3407.68,3748.448,a man with a beard and a mustache
3748.448,4089.216,a man with a beard and a mustache
4089.216,4429.984,a person riding on the back of a brown horse
4429.984,4770.752,a large stuffed animal sitting on top of a chair
4770.752,5111.52,a person walking on the ground with a shoe
5111.52,5452.2880000000005,a person walking on the beach with an umbrella
5452.2880000000005,5793.056,a man cutting a piece of wood with a pair of scissors
5793.056,6133.824,a man standing in front of a mountain with a camera
6133.824,6474.592,a man flying through the air while holding a skateboard
6474.592,6815.36,a man standing on top of a pile of rocks
6815.36,7156.128,a man riding a skateboard on top of a snow covered slope
7156.128,7496.896000000001,a man standing in front of a picture of a penguin
7496.896000000001,7837.663999999999,a black and white photo of a horse walking on a beach
7837.663999999999,8178.431999999999,a black and white photo of a horse and a person
8178.431999999999,8519.199999999999,a man standing on a beach with sheep
8519.199999999999,8859.968,a woman sitting on the ground near a body of water
8859.968,9200.736,a person standing on a beach next to some animals
9200.736,9541.504,a woman standing on a beach next to a sign
9541.504,9882.272,a blurry photo of a street sign with mountains
9882.272,10223.04,a blurry image of a mountain with a sky background
10223.04,10563.808,a person standing on top of a pile of rocks
10563.808,10904.576,a person standing on top of a dirt ground
10904.576,11245.344,a person standing on top of a pile of rocks
11245.344,11586.112,a person standing on top of a pile of rocks
11586.112,11926.88,a person standing on top of a dirt ground
11926.88,12267.648,a person standing on top of a dirt ground
12267.648,12608.416,a blurry photo of a dog looking at something
12608.416,12949.184,a man with a beard is looking at the camera
12949.184,13289.952,a man with a beard and beard looking at the camera
13289.952,13630.72,a man with a beard and a mustache
13630.72,13971.487999999998,a man with a beard and a mustache
13971.487999999998,14312.256,a man in a black and white photo
14312.256,14653.024,a blurry photo of a person with a green light
14653.024,14993.792,a crowd of people standing on top of a beach
14993.792,15334.56,a blurry photo of a person with a skateboard
15334.56,15675.327999999998,a blurry photo of a person holding a red and white frisbee
15675.327999999998,16016.096,a black and white photo of a herd of zebras
16016.096,16356.863999999998,a black and white photo of a black and white cat
16356.863999999998,16697.632,a blurry image of a person with an object in their hand
16697.632,17038.399999999998,a man doing a trick on a skateboard
17038.399999999998,17379.167999999998,a black and white photo of a group of people
17379.167999999998,17719.936,a herd of black and white cows walking on a dirt ground
17719.936,18060.704,an aerial view of a group of birds flying through the air
18060.704,18401.472,a man riding a horse through the air
18401.472,18742.24,a person jumping a horse in the air
18742.24,19083.008,a crowd of people standing around a tent
19083.008,19423.776,a crowd of people playing a game of frisbee
19423.776,19764.544,a man riding on the back of a horse
19764.544,20105.312,a man riding on the back of a brown horse
20105.312,20446.08,a man in a military uniform holding a stick
20446.08,20786.848,a crowd of people standing around a table
20786.848,21127.616,a crowd of people standing on top of a dirt field
21127.616,21468.384,two men in fatigues are standing in a field
21468.384,21809.152,a man riding on the back of a brown horse
21809.152,22149.92,a crowd of people playing a game of frisbee
22149.92,22490.688,a crowd of people playing a game of frisbee
22490.688,22831.456,a man holding a stick in the air
22831.456,23172.224,a man in a black shirt is holding a kite
23172.224,23512.992,a man in a black and white photo
23512.992,23853.76,a man in a black and white photo holding a cell phone
23853.76,24194.528,a man standing next to a group of people
24194.528,24535.296,a man holding a rope while standing in a field
24535.296,24876.064,a man standing next to a group of people on a beach
24876.064,25216.832,a person standing in the sand with a bunch of animals
25216.832,25557.6,a person riding a horse on a beach
25557.6,25898.368,a large group of people on a beach
25898.368,26239.136,a large group of people standing on top of a sandy beach
26239.136,26579.904,a large group of people standing on top of a sandy beach
26579.904,26920.672,a large group of people laying in the sand
26920.672,27261.44,a woman laying on the ground with a cell phone in her hand
27261.44,27602.208,a woman laying on the ground with her hands in her pockets
27602.208,27942.975999999995,a crowd of people standing on top of a sandy beach
27942.975999999995,28283.744,a man standing on top of a sandy beach
0.0,340.76800000000003,a blurry image of a sunset on a beach
340.76800000000003,681.5360000000001,an aerial view of a desert with a sky background
0.0,340.76800000000003,a blurry image of a sunset on a beach
340.76800000000003,681.5360000000001,an aerial view of a desert with a sky background
681.5360000000001,1022.304,an aerial view of a desert with a sky background
0.0,340.76800000000003,a blurry image of a sunset on a beach
340.76800000000003,681.5360000000001,an aerial view of a desert with a sky background
681.5360000000001,1022.304,an aerial view of a desert with a sky background
1022.304,1363.072,a blurry image of a sunset with a sky background
1363.072,1703.84,a blurry image of a blurry night sky
1703.84,2044.608,a blurry picture of a person standing in the dark
2044.608,2385.376,a blurry image of a blurry image of a blurry image of a blurry image
0.0,340.76800000000003,a blurry image of a sunset on a beach
340.76800000000003,681.5360000000001,an aerial view of a desert with a sky background
681.5360000000001,1022.304,an aerial view of a desert with a sky background
1022.304,1363.072,a blurry image of a sunset with a sky background
1363.072,1703.84,a blurry image of a blurry night sky
1703.84,2044.608,a blurry picture of a person standing in the dark
2044.608,2385.376,a blurry image of a blurry image of a blurry image of a blurry image
0.0,340.76800000000003,a blurry image of a sunset on a beach
340.76800000000003,681.5360000000001,an aerial view of a desert with a sky background
681.5360000000001,1022.304,an aerial view of a desert with a sky background
1022.304,1363.072,a blurry image of a sunset with a sky background
1363.072,1703.84,a blurry image of a blurry night sky
1703.84,2044.608,a blurry picture of a person standing in the dark
2044.608,2385.376,a blurry image of a blurry image of a blurry image of a blurry image
2385.376,2726.144,a woman is posing for a picture in a black and white photo
2726.144,3066.912,a woman is holding a pair of scissors
3066.912,3407.68,a woman holding a remote in her hand
3407.68,3748.448,a man with a beard and a mustache
3748.448,4089.216,a man with a beard and a mustache
4089.216,4429.984,a person riding on the back of a brown horse
4429.984,4770.752,a large stuffed animal sitting on top of a chair
4770.752,5111.52,a person walking on the ground with a shoe
5111.52,5452.2880000000005,a person walking on the beach with an umbrella
5452.2880000000005,5793.056,a man cutting a piece of wood with a pair of scissors
5793.056,6133.824,a man standing in front of a mountain with a camera
6133.824,6474.592,a man flying through the air while holding a skateboard
6474.592,6815.36,a man standing on top of a pile of rocks
6815.36,7156.128,a man riding a skateboard on top of a snow covered slope
7156.128,7496.896000000001,a man standing in front of a picture of a penguin
7496.896000000001,7837.663999999999,a black and white photo of a horse walking on a beach
7837.663999999999,8178.431999999999,a black and white photo of a horse and a person
8178.431999999999,8519.199999999999,a man standing on a beach with sheep
8519.199999999999,8859.968,a woman sitting on the ground near a body of water
8859.968,9200.736,a person standing on a beach next to some animals
9200.736,9541.504,a woman standing on a beach next to a sign
9541.504,9882.272,a blurry photo of a street sign with mountains
9882.272,10223.04,a blurry image of a mountain with a sky background
10223.04,10563.808,a person standing on top of a pile of rocks
10563.808,10904.576,a person standing on top of a dirt ground
10904.576,11245.344,a person standing on top of a pile of rocks
11245.344,11586.112,a person standing on top of a pile of rocks
11586.112,11926.88,a person standing on top of a dirt ground
11926.88,12267.648,a person standing on top of a dirt ground
12267.648,12608.416,a blurry photo of a dog looking at something
